Transcript,Average_HalfLife
YOR305W,113.20701953642983
YKL136W,135.79923391196644
YDR150W,277.7527706054262
YOR251C,89.55222677843375
YAL034W-A,81.01762238008122
YMR299C,106.49165935953229
YOL134C,465.6201829928408
YLR252W,95.81050253126419
YFL016C,158.69300573696015
YDR412W,445.82774171903776
YOR205C,116.23504060867997
YBL101W-B,256.19988536245893
YPR095C,142.21041524978634
YMR290W-A,144.05055517456356
YEL060C,146.94726324579474
YEL071W,80.01582625221718
YGL037C,193.91089321084678
YNL184C,1683.5914968261836
YOR173W,114.6769525380857
YNL009W,111.5743763256259
YLR092W,87.57123887681867
YJL022W,189.71869104740722
YBR066C,154.91650076404
YMR028W,182.50597954552975
YOR379C,124.20243962995903
YNL011C,217.45068184033735
YJL116C,91.2316596825219
YML070W,199.93397825570153
Q0070,128.60612008334627
YNL045W,91.72810735845376
YOL136C,110.05926229187969
YGL193C,193.19184553003348
YLR347C,101.61734418879098
YOR152C,375.5982872287238
YPR098C,139.15818357867144
YNL198C,187.28235460838565
YOL084W,107.1587059349294
YPL152W,300.32105275102265
YKL010C,122.1486236752793
YLL059C,153.6433407536157
YOL020W,146.36193249722456
YIL162W,85.19206459775795
YOL085C,296.593854949026
YDL039C,287.71142188033656
YOL160W,94.02956733311123
YMR110C,2088.7122587682416
YLR270W,95.16894766835716
YDR461W,110.45506324303513
YBL043W,93.68231354125156
YDR265W,89.6277635877741
YBR299W,86.60317649986888
YOL087C,361.3106784923262
YOR376W,238.78424646536618
YMR122C,86.24016613389944
YBR037C,169.15356178167607
YPR077C,222.7072066052349
YGR062C,133.79303871103613
YAL011W,96.73815877043393
YLR053C,103.72618233529015
YOR097C,94.57271791727054
YER066C-A,242.50791984939156
YDR305C,87.906854518979
YBR099C,99.32072274863012
YDL200C,672.144049932996
YOR317W,141.94830092413696
YFR035C,122.76724934615987
YDL168W,99.60934206662182
YOR297C,1000.9002920052745
YML113W,80.32379431686694
YHL040C,129.20290967517238
YBL064C,808.9917722863804
YDR340W,334.0121511572389
YDL234C,178.66184477068887
YGR233C,3083.194564656286
YDR016C,1644.5044762625503
YJR026W,89.35708839410836
YML041C,141.71615591545688
YGL015C,90.50317615429134
YHR100C,100.24667713451701
YDL238C,132.62313948641628
YDR008C,118.91768008623943
YPL170W,83.46155350042163
YKR040C,86.60573430607026
YOL083W,205.60259341554342
YAL067C,572.4852924325502
YHL030W,91.07968694302599
YMR107W,210.5359798194959
YLR178C,397.5552491995609
YBL053W,88.01850479709243
YOR183W,102.28862395867958
YNL008C,498.9027853331726
YPL150W,142.5906090114601
YPL202C,78.11345091635523
YJR114W,97.2198760009926
YGL136C,1261.0745164319658
YDR533C,80.74686417729515
YOR255W,767.2918085427398
YDR075W,173.94563943985835
YDL087C,180.78285682391572
YGR164W,80.67450305479139
YDR431W,83.06211587289567
YPL148C,84.45333245687232
YPL095C,183.1919799842084
YML011C,171.643198808569
YPR150W,1163.172280103247
YJR119C,172.90297373338922
YLR126C,161.86840316168352
YOR072W,78.52845428210344
YOL101C,156.48701416468882
YPL047W,82.54063968805134
YDL176W,169.2313127940838
YDR248C,78.02440500631374
YOR107W,98.39005511763249
YPL258C,129.80160053476808
YNR019W,106.39304130742214
YJL068C,101.79233374405047
YPR045C,118.31339736164712
YLR012C,87.20677713031996
YEL010W,960.5512811283561
YML040W,88.5937774913155
YGR130C,108.3072566718955
YER104W,665.9311271816878
YNR058W,1493.6939376114326
YMR278W,273.9281063332919
YLR385C,759.3793263783547
YPL087W,165.34149198821126
YJL107C,127.47494696838346
YBR170C,434.1656094706987
YOR346W,90.88604052454849
YBL098W,97.82379745542896
YKL036C,147.04374062366588
YDL057W,211.49138225170603
YNL159C,80.43940943097013
YOL162W,628.2428618187508
YBL005W,109.83451052681926
YJL049W,96.12510967859585
YBR174C,150.36516538457198
YDR401W,874.9646713009101
YAL002W,112.86479367643955
YJR091C,109.49720633768582
