Transcript,Average_HalfLife
YCL030C,16.45888499938452
YHR170W,9.694072035842696
YJL030W,15.155894337220086
YBR158W,13.146266567605792
YBR244W,12.738413817658156
YDL240W,14.623537849556755
YJR144W,16.325679607316463
YBL068W,7.114455222550362
YDL052C,16.433300026882158
YOR145C,10.807727408413271
YDL148C,14.919552436193975
YEL065W,15.25230061773102
YJL179W,15.96632056459822
YKR013W,16.020827699000197
YJR088C,15.800304750385216
YBL032W,15.52599117124697
YGR251W,14.704611164166085
YJR082C,13.526392664494924
YLR230W,16.002661048352042
YNL181W,13.905265725594601
YIL093C,13.92205626669576
YGR035C,14.083806364716267
YPR143W,9.750413197565546
YIL016W,13.038385429010875
YPL244C,10.820331016451137
YER145C,16.018339932976705
YLR065C,16.082868346886524
YPL043W,13.610426946654234
YLL009C,11.764052531361191
YDL142C,15.607498329127964
YLR017W,10.457092729188398
YNL183C,10.808205134267011
YER156C,14.046060937619648
YKR012C,12.992213080744099
YDL074C,15.607241495493653
YPR009W,14.135921511522342
YNL216W,4.23275619149031
YHR088W,11.524835289746262
YGR029W,16.17616809366118
YML048W,15.457383400293237
YLR285W,12.09595236317351
YIL100W,15.35084584481365
YPL044C,12.682726140030192
YOR294W,12.511125855018214
YKL178C,15.673603313535404
YKL216W,14.854840491720102
YPL124W,11.291041676279994
YLR319C,7.987145763466524
YOL018C,5.298460306088232
YGR095C,13.312119031361037
YHR187W,12.996139426990503
YDL207W,15.518279361951096
YNL317W,10.943606166727218
YNL147W,14.102744810293828
YOR308C,10.129410442341939
YNL329C,15.878669757042093
YNL332W,7.15427317850406
YKR024C,11.35571194268762
YGL078C,15.244204546806596
YDL212W,14.076947490565875
YBR003W,13.944177372292081
YDL213C,13.694858163055573
YDR152W,13.17288105446567
YGL072C,10.583466533273624
YHR149C,10.380666777891413
YLR440C,9.137377046522738
YOR320C,12.2014777000493
YPL108W,6.5671026414097255
YNL333W,15.439649532795762
YFR018C,13.617821327837015
YKR035C,9.218421369117216
YOR188W,12.678654002626216
YPR113W,16.37287085624536
YKL004W,13.658279265387526
YOR243C,9.937633292790709
YDR120C,9.52906396179467
YDR413C,11.747285098726477
YNR009W,10.79476635749656
YNL217W,12.954273220918267
YOL124C,15.151080802806508
YOR094W,16.127257104211
YDR087C,16.16419441203999
YPL266W,13.05425732491019
YNR046W,13.269568327391436
YDR026C,15.85135184697775
YPL163C,13.628948170151594
YOR281C,11.526412006141113
YEL042W,14.15234330678318
YMR185W,15.757945849745072
YBL036C,15.503085515163505
YCR087W,11.543329626066894
YJL200C,14.704307232573546
YKL143W,15.506631386478068
YMR272C,15.787487583205646
YJL208C,12.3505404712201
YDR044W,16.062260212739606
YGR200C,16.549597301205996
YOL149W,14.03132866940761
YGR181W,14.292130393330787
YLR409C,14.532432112167198
YDL121C,16.123530573227132
YOR189W,16.070609283163247
YGL111W,12.252529939757613
YBR155W,12.211332740115076
YPL157W,13.005761616833041
YKL073W,15.823048771303881
YMR221C,15.888247511507638
